"","date","hits","keyword","geo","time","gprop","category"
"243",2023-11-19,54,"Netflix","US","today+5-y","web",0
"244",2023-11-26,47,"Netflix","US","today+5-y","web",0
"245",2023-12-03,44,"Netflix","US","today+5-y","web",0
"246",2023-12-10,51,"Netflix","US","today+5-y","web",0
"247",2023-12-17,49,"Netflix","US","today+5-y","web",0
"248",2023-12-24,56,"Netflix","US","today+5-y","web",0
"249",2023-12-31,58,"Netflix","US","today+5-y","web",0
"250",2024-01-07,53,"Netflix","US","today+5-y","web",0
"251",2024-01-14,53,"Netflix","US","today+5-y","web",0
"252",2024-01-21,56,"Netflix","US","today+5-y","web",0
"253",2024-01-28,50,"Netflix","US","today+5-y","web",0
"254",2024-02-04,47,"Netflix","US","today+5-y","web",0
"255",2024-02-11,48,"Netflix","US","today+5-y","web",0
"256",2024-02-18,59,"Netflix","US","today+5-y","web",0
"257",2024-02-25,53,"Netflix","US","today+5-y","web",0
"258",2024-03-03,48,"Netflix","US","today+5-y","web",0
"259",2024-03-10,49,"Netflix","US","today+5-y","web",0
"260",2024-03-17,45,"Netflix","US","today+5-y","web",0
"261",2024-03-24,46,"Netflix","US","today+5-y","web",0
"262",2024-03-31,41,"Netflix","US","today+5-y","web",0
